Token	Uid	Link
"WindyCityTimes"	30284449	"https://twitter.com/WindyCityTimes"
"SCMPNews"	23922797	"https://twitter.com/SCMPNews"
"CWoodHolladay"	36880297	"https://twitter.com/CWoodHolladay"
"TVilleJournal"	36964009	"https://twitter.com/TVilleJournal"
"SPGMI_Energy"	158802394	"https://twitter.com/SPGMI_Energy"
"AKpublicnews"	14065981	"https://twitter.com/AKpublicnews"
"AroundOsceola"	34297914	"https://twitter.com/AroundOsceola"
"SValleyJournal"	36957232	"https://twitter.com/SValleyJournal"
"LacledeNews"	295863836	"https://twitter.com/LacledeNews"
"CTV"	132240374	"https://twitter.com/CTV"
"ContempoCLE"	37954510	"https://twitter.com/ContempoCLE"
"SierraSunNews"	30063861	"https://twitter.com/SierraSunNews"
"MurrayJournal"	36882692	"https://twitter.com/MurrayJournal"
"DraperJournal"	36881133	"https://twitter.com/DraperJournal"
"WJordanJournal"	36964818	"https://twitter.com/WJordanJournal"
"tbocom"	14247572	"https://twitter.com/tbocom"
"SandyCityNews"	36955564	"https://twitter.com/SandyCityNews"
"bopinion"	227682918	"https://twitter.com/bopinion"
"daily_targum"	25813998	"https://twitter.com/daily_targum"
"ActualidadRT"	100731315	"https://twitter.com/ActualidadRT"
"RTUKnews"	83638901	"https://twitter.com/RTUKnews"
"weekenderNEPA"	20281416	"https://twitter.com/weekenderNEPA"
"svbizjournal"	17625154	"https://twitter.com/svbizjournal"
"TaxNotes"	461219840	"https://twitter.com/TaxNotes"
"cspanMusic"	336039467	"https://twitter.com/cspanMusic"
"CSPANinfo"	576520016	"https://twitter.com/CSPANinfo"
"CSPANnow"	372390671	"https://twitter.com/CSPANnow"
"SentinelColo"	29295613	"https://twitter.com/SentinelColo"
"Tagesspiegel"	22926365	"https://twitter.com/Tagesspiegel"
"usatodayopinion"	133052366	"https://twitter.com/usatodayopinion"
"HC_Spire"	337844940	"https://twitter.com/HC_Spire"
"MDEdgeTweets"	19347202	"https://twitter.com/MDEdgeTweets"
"DailySundial"	16191278	"https://twitter.com/DailySundial"
"TBRNewsMedia"	245492384	"https://twitter.com/TBRNewsMedia"
"TWCBreaking"	116559622	"https://twitter.com/TWCBreaking"
"BBCArabic"	52032722	"https://twitter.com/BBCArabic"
"CNNEE"	33884545	"https://twitter.com/CNNEE"
"cnnarabic"	66591836	"https://twitter.com/cnnarabic"
"bbcpersian"	790728	"https://twitter.com/bbcpersian"
"koreatimescokr"	552548889	"https://twitter.com/koreatimescokr"
"celocal"	1602044551	"https://twitter.com/celocal"
"PublisherBHL"	112490345	"https://twitter.com/PublisherBHL"
"TheLamarTimes"	41663511	"https://twitter.com/TheLamarTimes"
"SlateCulture"	234402376	"https://twitter.com/SlateCulture"
"WVNews247"	273969007	"https://twitter.com/WVNews247"
"TN_15157214143"	3577755135	"https://twitter.com/TN_15157214143"
"TheHendNews"	217150116	"https://twitter.com/TheHendNews"
"GlobalTV"	26528121	"https://twitter.com/GlobalTV"
"HeraldLNCitizen"	418791562	"https://twitter.com/HeraldLNCitizen"
"MartyBudner"	277010391	"https://twitter.com/MartyBudner"
"DenverCitizen"	621150853	"https://twitter.com/DenverCitizen"
"jcsentinel"	87527900	"https://twitter.com/jcsentinel"
"LFSCConnection"	303923391	"https://twitter.com/LFSCConnection"
"Followfairfax"	49796166	"https://twitter.com/Followfairfax"
"ceoupdate"	27639378	"https://twitter.com/ceoupdate"
"BloombergEnv"	41847726	"https://twitter.com/BloombergEnv"
"newrepublic"	82689705	"https://twitter.com/newrepublic"
"BillOReilly"	23970102	"https://twitter.com/BillOReilly"
"NLLeaderNews"	733708079728975872	"https://twitter.com/NLLeaderNews"
"pressenterprise"	15937533	"https://twitter.com/pressenterprise"
"dohanews"	23123824	"https://twitter.com/dohanews"
"PharmExec"	20147730	"https://twitter.com/PharmExec"
"myheraldreview"	18282010	"https://twitter.com/myheraldreview"
"ElNuevoDia"	15726324	"https://twitter.com/ElNuevoDia"
"RFI_English"	17870319	"https://twitter.com/RFI_English"
"TOIIndianAbroad"	30847736	"https://twitter.com/TOIIndianAbroad"
"ConsumerReports"	16193528	"https://twitter.com/ConsumerReports"
"kyunghyang"	118720645	"https://twitter.com/kyunghyang"
"NBCNews"	14173315	"https://twitter.com/NBCNews"
"ArgusMedia"	50611261	"https://twitter.com/ArgusMedia"
"cgtnamerica"	620136960	"https://twitter.com/cgtnamerica"
